City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
670,Port Moresby,PG,83.71,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
675,Sarangani,PH,81.9,overcast clouds,5.4033,125.4636,Ballistic Islet
678,Huarmey,PE,70.95,overcast clouds,-10.0681,-78.1522,Hotel Miramar
680,Presidencia Roque Saenz Pena,AR,82.98,few clouds,-26.7852,-60.4388,Hotel Gualok
683,Kaabong,UG,70.93,overcast clouds,3.4836,34.1492,Rock Motel Ltd
685,Sao Raimundo Nonato,BR,70.84,few clouds,-9.0153,-42.6994,Real Hotel
687,Ewo,CG,73.0,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
690,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
692,Wanning,CN,75.4,broken clouds,18.8003,110.3967,Paradise Hotel
694,Odweyne,SO,73.02,clear sky,9.4092,45.064,Eng Hiirey House
695,Cutler,US,71.6,broken clouds,25.6151,-80.3106,Quality Inn Miami South
698,Payo,ID,84.24,overcast clouds,-3.7508,103.6372,Mess keban agung
699,Diamantino,BR,70.93,overcast clouds,-14.4086,-56.4461,Hotel Delta
701,Basco,PH,74.28,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
702,Ulladulla,AU,72.77,broken clouds,-35.35,150.4667,Sandpiper Motel
703,Necochea,AR,72.03,light rain,-38.5473,-58.7368,dyd -mar Hotel
706,Ahuimanu,US,76.71,moderate rain,21.4447,-157.8378,Paradise Bay Resort
708,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
710,Camopi,GF,70.68,overcast clouds,3.1655,-52.3158,La pousada
715,Guantanamo,CU,72.97,clear sky,20.1444,-75.2092,Hotel Guantánamo
