City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
30,Vestmannaeyjar,63.4427,-20.2734,46.98,90,100,33.62,IS,overcast clouds
31,Iqaluit,63.7506,-68.5145,-29.31,73,1,5.01,CA,clear sky
32,Severo-Kurilsk,50.6789,156.125,31.42,78,100,22.57,RU,overcast clouds
33,San Cristobal,7.7669,-72.225,68.18,77,62,2.24,VE,broken clouds
34,Meulaboh,4.1363,96.1285,85.46,62,9,5.5,ID,clear sky
35,Jamestown,42.097,-79.2353,11.52,78,100,6.91,US,overcast clouds
36,Karratha,-20.7377,116.8463,95.02,46,1,17.65,AU,clear sky
37,Guadalupe Y Calvo,26.1,-106.9667,33.06,64,42,5.59,MX,scattered clouds
38,Cabo San Lucas,22.8909,-109.9124,71.51,69,100,5.06,MX,overcast clouds
39,Egvekinot,66.3167,-179.1667,-12.12,71,0,17.72,RU,clear sky
40,Shebalino,51.2917,85.6772,18.23,83,8,1.45,RU,clear sky
41,Gravdal,68.1214,13.5031,30.09,80,40,9.22,NO,scattered clouds
42,Saskylakh,71.9167,114.0833,-11.38,90,81,8.68,RU,broken clouds
43,Atuona,-9.8,-139.0333,78.91,76,77,25.05,PF,broken clouds
44,Novyy Urengoy,66.0833,76.6333,11.55,91,16,16.13,RU,few clouds
45,Bluff,-46.6,168.3333,57.79,76,92,18.84,NZ,overcast clouds
46,Sorland,67.667,12.6934,30.27,50,100,12.3,NO,overcast clouds
47,Albany,42.6001,-73.9662,11.08,64,68,5.01,US,broken clouds
48,Ponta Do Sol,32.6667,-17.1,66.83,82,84,14.23,PT,broken clouds
49,Kodiak,57.79,-152.4072,38.28,98,100,14.97,US,light rain
50,Smidovich,48.6,133.8167,-5.94,93,11,4.88,RU,few clouds
51,Sept-Iles,50.2001,-66.3821,-4.95,62,0,1.01,CA,clear sky
52,Nouakchott,18.0858,-15.9785,62.53,34,87,5.55,MR,overcast clouds
53,San Quintin,30.4833,-115.95,60.15,58,0,2.17,MX,clear sky
54,Sunndalsora,62.6754,8.5515,36.25,97,100,4.5,NO,overcast clouds
55,Kavieng,-2.5744,150.7967,83.16,71,100,5.77,PG,light rain
56,Kourou,5.1552,-52.6478,76.1,92,89,8.63,GF,light rain
57,Chibombo,-14.6569,28.0706,66.31,91,94,7.74,ZM,overcast clouds
58,Hofn,64.2539,-15.2082,43.7,96,100,20.54,IS,overcast clouds
59,Faya,18.3851,42.4509,50.11,68,0,8.23,SA,clear sky
60,Portland,45.5234,-122.6762,47.25,87,75,1.01,US,broken clouds
61,Gandorhun,7.5,-11.8333,70.84,98,92,3.22,SL,overcast clouds
62,Puerto Ayora,-0.7393,-90.3518,72.7,93,81,6.33,EC,broken clouds
63,Hilo,19.7297,-155.09,73.13,85,75,4.61,US,broken clouds
64,Belyy Yar,53.6039,91.3903,-4.11,84,75,2.24,RU,broken clouds
65,Carnarvon,-24.8667,113.6333,98.67,30,0,16.11,AU,clear sky
66,Lebu,-37.6167,-73.65,51.64,87,0,5.53,CL,clear sky
67,Mar Del Plata,-38.0023,-57.5575,73.09,100,100,18.99,AR,light rain
68,Bouna,9.2667,-3.0,62.22,20,4,6.11,CI,clear sky
69,Vershino-Darasunskiy,52.35,115.5167,4.51,84,99,1.68,RU,overcast clouds
70,Qaanaaq,77.484,-69.3632,4.78,96,99,4.23,GL,overcast clouds
71,Rio Brilhante,-21.8019,-54.5464,70.2,88,19,2.75,BR,few clouds
72,Corralillo,22.9819,-80.5856,70.65,92,0,5.48,CU,clear sky
73,Amahai,-3.3333,128.9167,83.52,76,99,2.1,ID,overcast clouds
74,Dikson,73.5069,80.5464,10.8,94,100,13.89,RU,light snow
75,Souillac,-20.5167,57.5167,84.58,84,40,16.11,MU,scattered clouds
76,Vila Velha,-20.3297,-40.2925,76.95,89,75,2.3,BR,broken clouds
77,Umm Lajj,25.0213,37.2685,62.65,34,0,12.17,SA,clear sky
78,New Norfolk,-42.7826,147.0587,82.76,19,11,4.0,AU,few clouds
79,Tasiilaq,65.6145,-37.6368,35.76,85,100,13.6,GL,overcast clouds
80,Quang Ngai,15.1167,108.8,77.52,72,89,2.44,VN,overcast clouds
81,Yar-Sale,66.8333,70.8333,11.84,91,99,20.76,RU,overcast clouds
82,Paamiut,61.994,-49.6678,18.34,93,100,3.44,GL,light snow
83,Hithadhoo,-0.6,73.0833,82.09,73,100,9.1,MV,overcast clouds
84,Darab,28.7519,54.5444,42.66,55,1,1.72,IR,clear sky
85,Peruibe,-24.32,-46.9983,75.97,88,68,3.02,BR,broken clouds
86,Parabel,58.6978,81.4825,9.43,95,79,4.83,RU,broken clouds
87,Havre-Saint-Pierre,50.2334,-63.5986,3.79,77,0,12.66,CA,clear sky
88,Dianalund,55.5313,11.4925,35.8,59,35,13.82,DK,scattered clouds
89,Luderitz,-26.6481,15.1594,74.23,71,13,2.21,NA,few clouds
90,Dong Hoi,17.4833,106.6,70.57,84,100,4.45,VN,overcast clouds
91,Kirovskiy,45.0917,133.5136,3.2,83,56,2.35,RU,broken clouds
